,frequency,docIDs
гублячи,1,[0]
метелики,6,"[0, 3, 7, 10, 13, 14]"
мітка,1,[0]
повітка,3,"[0, 11, 17]"
збирати,8,"[0, 1, 4, 5, 7, 8, 10, 15]"
замовкають,1,[0]
конав,1,[0]
групами,1,[0]
постояв,6,"[0, 4, 7, 10, 14, 15]"
ітимемо,1,[0]
приском,4,"[0, 4, 8, 17]"
виніс,8,"[0, 1, 4, 7, 8, 10, 11, 17]"
людської,6,"[0, 4, 7, 8, 9, 10]"
живої,8,"[0, 3, 4, 7, 8, 10, 11, 15]"
всій,7,"[0, 1, 4, 5, 8, 11, 16]"
спала,12,"[0, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 17]"
богові,8,"[0, 4, 5, 7, 8, 10, 15, 17]"
малім,2,"[0, 7]"
повестись,1,[0]
примічаючи,2,"[0, 4]"
тутешніми,1,[0]
руділи,1,[0]
впадає,2,"[0, 9]"
скімлючи,1,[0]
кліпала,2,"[0, 15]"
гуляти,6,"[0, 4, 5, 8, 10, 17]"
лихою,4,"[0, 4, 5, 8]"
веселкова,1,[0]
півень,7,"[0, 4, 5, 8, 12, 14, 17]"
факт,3,"[0, 10, 14]"
обмотав,2,"[0, 12]"
зчинився,5,"[0, 4, 5, 7, 12]"
кожум'яка,1,[0]
полохались,1,[0]
переконаний,3,"[0, 7, 10]"
осуду,1,[0]
серцем,13,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17]"
осатаніло,1,[0]
втома,3,"[0, 1, 7]"
затіску,1,[0]
снігом,9,"[0, 4, 5, 7, 8, 9, 10, 11, 17]"
заклекотали,1,[0]
синю,4,"[0, 3, 4, 8]"
зручний,2,"[0, 15]"
батьківський,3,"[0, 1, 17]"
засмалений,2,"[0, 4]"
воля,14,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17]"
авансом,2,"[0, 10]"
тушу,2,"[0, 5]"
шедеврами,1,[0]
колумбів,1,[0]
блідіші,1,[0]
хата,13,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 15, 17]"
підбадьорює,1,[0]
сірої,4,"[0, 7, 10, 13]"
душно,10,"[0, 3, 4, 5, 8, 9, 10, 11, 15, 17]"
повторювався,1,[0]
злягли,1,[0]
звалась,2,"[0, 8]"
підібгали,1,[0]
співає,11,"[0, 3, 4, 5, 7, 8, 9, 10, 11, 15, 16]"
обрій,3,"[0, 10, 11]"
стільцях,2,"[0, 10]"
письмо,5,"[0, 2, 7, 8, 10]"
урвавсь,1,[0]
м'язів,2,"[0, 10]"
батьківське,3,"[0, 1, 17]"
позмерзався,1,[0]
чекала,7,"[0, 1, 7, 10, 11, 12, 15]"
таїла,3,"[0, 7, 10]"
вниз,11,"[0, 1, 3, 4, 5, 7, 10, 11, 14, 15, 17]"
шерхлі,1,[0]
тетеруків,1,[0]
фразу,1,[0]
місяців,6,"[0, 4, 7, 8, 10, 16]"
шостої,3,"[0, 8, 10]"
коні,15,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16, 17]"
у,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
мертвих,7,"[0, 1, 4, 8, 9, 11, 15]"
перелякані,3,"[0, 4, 7]"
гаях,4,"[0, 5, 8, 10]"
спустили,4,"[0, 1, 7, 8]"
сторонній,2,"[0, 10]"
ночували,3,"[0, 7, 8]"
контролери,1,[0]
орудуй,1,[0]
будьякої,2,"[0, 10]"
мисливцеві,1,[0]
перемацуючи,2,"[0, 12]"
арсеньев,1,[0]
втікатимеш,1,[0]
стежечку,3,"[0, 8, 14]"
тайною,1,[0]
живого,11,"[0, 1, 4, 5, 7, 8, 10, 11, 14, 15, 17]"
биркою,1,[0]
тисячоліття,2,"[0, 10]"
побитий,2,"[0, 6]"
лютопрелюто,1,[0]
попів,3,"[0, 4, 17]"
плаский,2,"[0, 7]"
стрілятиме,1,[0]
зрадівши,3,"[0, 4, 14]"
грона,2,"[0, 11]"
студентські,2,"[0, 10]"
негодяями,1,[0]
небесне,6,"[0, 3, 4, 10, 16, 17]"
прибити,1,[0]
навчитесь,1,[0]
розстеляли,1,[0]
босий,5,"[0, 4, 8, 12, 16]"
гадючам,1,[0]
речами,4,"[0, 5, 7, 8]"
сліпить,3,"[0, 8, 13]"
пиить,1,[0]
візиту,1,[0]
похиливши,7,"[0, 1, 5, 7, 10, 11, 17]"
дівко,3,"[0, 9, 17]"
пустель,1,[0]
могли,12,"[0, 1, 2, 5, 7, 8, 10, 11, 12, 14, 15, 17]"
трішечки,1,[0]
неодмінно,3,"[0, 10, 12]"
були,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
шарах,1,[0]
дикунка,1,[0]
ревувиклику,1,[0]
преферанс,1,[0]
військовий,3,"[0, 5, 7]"
стисло,4,"[0, 9, 11, 12]"
морозяними,1,[0]
рвучи,5,"[0, 1, 8, 10, 12]"
стайні,6,"[0, 1, 4, 7, 9, 10]"
покличемо,1,[0]
стрельнуло,1,[0]
орловські,1,[0]
спровадив,3,"[0, 5, 12]"
призвичаїшся,1,[0]
дві,16,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
здорово,7,"[0, 4, 5, 7, 8, 16, 17]"
дураками,1,[0]
буркнув,4,"[0, 1, 7, 10]"
рогату,1,[0]
бистроока,1,[0]
затупотить,1,[0]
пожартував,1,[0]
цехавуз,1,[0]
тримаються,1,[0]
дзііінь,1,[0]
отарами,1,[0]
хочу,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
сохатого,1,[0]
вивчав,1,[0]
письменний,3,"[0, 5, 8]"
молоді,11,"[0, 1, 2, 4, 5, 7, 8, 10, 11, 12, 17]"
мисливців,1,[0]
незмінною,2,"[0, 10]"
покійного,3,"[0, 7, 16]"
мочарами,1,[0]
самій,13,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 12, 13, 16, 17]"
йосиф,1,[0]
кружляли,3,"[0, 7, 10]"
цвітом,6,"[0, 4, 7, 8, 9, 11]"
дальзаготхутрі,1,[0]
шкіряну,1,[0]
крайкому,1,[0]
нахмурені,1,[0]
в'язниця,1,[0]
осушували,1,[0]
кашляючи,1,[0]
зиркнула,5,"[0, 1, 4, 10, 12]"
звірят,3,"[0, 7, 15]"
син,15,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17]"
набиту,1,[0]
визнавав,1,[0]
загомоніли,8,"[0, 1, 4, 7, 11, 12, 14, 17]"
бирок,1,[0]
недосказана,1,[0]
іншою,3,"[0, 5, 7]"
витягнувшись,1,[0]
сильних,6,"[0, 1, 3, 4, 7, 15]"
загадкової,1,[0]
нада,2,"[0, 4]"
бюрком,1,[0]
найсуворішім,1,[0]
озивався,2,"[0, 4]"
сміливість,3,"[0, 4, 11]"
справах,5,"[0, 7, 10, 11, 14]"
гуготів,1,[0]
авіаконструктор,1,[0]
стріляла,2,"[0, 7]"
пашкове,1,[0]
краю,15,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
рюкзаку,1,[0]
пообідав,3,"[0, 4, 10]"
сипав,2,"[0, 1]"
впізнали,3,"[0, 12, 17]"
піддаючи,1,[0]
збавив,3,"[0, 2, 9]"
наб'ю,1,[0]
поїдуть,4,"[0, 4, 8, 10]"
вирі,4,"[0, 10, 11, 13]"
хай,9,"[0, 4, 7, 9, 10, 11, 12, 14, 15]"
хетагуровки,1,[0]
бачило,4,"[0, 4, 5, 7]"
головою,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
заглядав,3,"[0, 4, 17]"
стрічками,3,"[0, 5, 12]"
пообморожував,1,[0]
одружився,5,"[0, 4, 7, 8, 16]"
лунами,1,[0]
повиднішало,1,[0]
починати,6,"[0, 1, 7, 10, 14, 15]"
краєва,1,[0]
сідлати,3,"[0, 5, 8]"
виставку,2,"[0, 10]"
почалась,6,"[0, 1, 4, 11, 14, 17]"
спідню,2,"[0, 14]"
вигоду,2,"[0, 17]"
перехрестився,5,"[0, 4, 7, 8, 17]"
пригадував,4,"[0, 4, 7, 10]"
будьонівка,1,[0]
побачити,10,"[0, 1, 4, 5, 7, 9, 10, 11, 12, 17]"
україна,6,"[0, 4, 5, 8, 11, 14]"
посаг,2,"[0, 4]"
втягувати,1,[0]
неприємності,2,"[0, 10]"
уздовж,2,"[0, 10]"
поінформував,1,[0]
піднімала,4,"[0, 4, 7, 12]"
самиць,1,[0]
призмою,1,[0]
трьома,8,"[0, 1, 4, 7, 9, 10, 12, 17]"
трамбон,1,[0]
пишайся,1,[0]
упізнав,1,[0]
землею,10,"[0, 1, 3, 4, 5, 7, 8, 10, 15, 17]"
вміють,9,"[0, 1, 4, 5, 7, 8, 9, 10, 17]"
блакиттю,2,"[0, 15]"
господар,7,"[0, 4, 5, 7, 8, 10, 17]"
простягаючи,4,"[0, 4, 7, 9]"
насіли,1,[0]
гаразд,12,"[0, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17]"
здичавів,1,[0]
лаштувались,1,[0]
хащі,2,"[0, 9]"
вікно,12,"[0, 2, 3, 4, 5, 7, 8, 9, 10, 12, 15, 17]"
заведено,2,"[0, 1]"
брки,1,[0]
неправда,9,"[0, 4, 5, 6, 7, 8, 9, 13, 17]"
туману,5,"[0, 4, 6, 8, 9]"
рішеності,1,[0]
піклувався,1,[0]
мисливця,1,[0]
підсунула,2,"[0, 7]"
зодягнений,2,"[0, 4]"
сльозу,3,"[0, 8, 11]"
богом,10,"[0, 1, 4, 5, 7, 8, 11, 15, 16, 17]"
розмелюючи,1,[0]
стрєльньомка,1,[0]
годувала,7,"[0, 1, 4, 7, 8, 11, 17]"
шукаючи,7,"[0, 1, 4, 7, 9, 10, 15]"
огиряка,1,[0]
скрізь,14,"[0, 1, 3, 4, 5, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
жартівливо,3,"[0, 14, 17]"
іскрами,6,"[0, 1, 7, 9, 10, 17]"
дватри,5,"[0, 7, 8, 10, 13]"
обрію,3,"[0, 10, 12]"
таких,14,"[0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 17]"
базі,2,"[0, 10]"
чаклують,1,[0]
позирає,2,"[0, 8]"
абияк,2,"[0, 7]"
тямить,6,"[0, 5, 7, 9, 10, 17]"
будовано,1,[0]
дерев,7,"[0, 1, 7, 9, 10, 12, 15]"
ведмежати,1,[0]
жахом,7,"[0, 4, 7, 9, 10, 14, 15]"
вершини,1,[0]
безмежжям,1,[0]
мною,17,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
жигне,1,[0]
небесну,2,"[0, 3]"
уїдливо,2,"[0, 9]"
птиць,1,[0]
завинених,1,[0]
задушене,1,[0]
викликати,3,"[0, 7, 10]"
дивна,6,"[0, 1, 9, 10, 11, 15]"
удає,4,"[0, 5, 7, 9]"
mori,1,[0]
читали,5,"[0, 11, 14, 16, 17]"
діялося,4,"[0, 1, 7, 8]"
жвавіше,1,[0]
гирла,5,"[0, 1, 5, 7, 8]"
старовіри,1,[0]
подавалося,1,[0]
підозрілий,1,[0]
тепліший,1,[0]
мерехтіла,1,[0]
режим,2,"[0, 10]"
старосвітської,1,[0]
везе,5,"[0, 8, 10, 16, 17]"
тварини,2,"[0, 10]"
хлоп'ячі,4,"[0, 4, 7, 10]"
роки,11,"[0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 14]"
висмикнути,1,[0]
зупинився,8,"[0, 1, 3, 5, 6, 9, 11, 12]"
хотіли,13,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 14, 17]"
пропасниці,4,"[0, 7, 12, 17]"
непривітно,4,"[0, 1, 4, 9]"
жагою,3,"[0, 10, 13]"
сумно,13,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 17]"
нів,1,[0]
обідню,2,"[0, 4]"
поперекидати,1,[0]
живе,15,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]"
жорстоку,1,[0]
вікнами,10,"[0, 4, 7, 8, 10, 11, 12, 13, 15, 17]"
шапочкахушанках,1,[0]
дивно,13,"[0, 1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 15, 16]"
ачей,1,[0]
строєм,1,[0]
боліла,6,"[0, 4, 7, 8, 9, 16]"
розсохами,1,[0]
живою,8,"[0, 1, 7, 8, 10, 11, 15, 17]"
страшно,12,"[0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 16]"
торішнього,2,"[0, 10]"
зроблене,2,"[0, 1]"
дико,6,"[0, 1, 6, 7, 10, 15]"
молодого,9,"[0, 1, 4, 5, 7, 8, 9, 10, 13]"
бліда,11,"[0, 1, 4, 7, 9, 10, 11, 12, 13, 14, 17]"
пролетівши,1,[0]
м'якому,1,[0]
ночівлі,3,"[0, 11, 12]"
сизі,2,"[0, 4]"
забуваючи,4,"[0, 1, 4, 10]"
шматки,5,"[0, 1, 10, 11, 17]"
ліньки,2,"[0, 14]"
качок,3,"[0, 1, 7]"
петлями,1,[0]
поїдеш,4,"[0, 4, 8, 17]"
точці,2,"[0, 10]"
тремтіли,5,"[0, 1, 10, 12, 15]"
розчавленої,1,[0]
урвищах,1,[0]
фагот,1,[0]
уривками,1,[0]
гурани,1,[0]
полярна,1,[0]
кремезний,3,"[0, 1, 4]"
попечені,1,[0]
звільнив,1,[0]
назбивали,1,[0]
плямистого,1,[0]
чк,1,[0]
трохи,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]"
бджоли,6,"[0, 4, 5, 7, 11, 17]"
забобонні,1,[0]
інтернаціонального,1,[0]
вуж,1,[0]
змішане,1,[0]
нишпорив,2,"[0, 4]"
мацала,1,[0]
вічність,4,"[0, 7, 10, 13]"
соняшники,1,[0]
бульба,2,"[0, 14]"
гола,5,"[0, 4, 8, 10, 15]"
звутьзвуть,1,[0]
різним,2,"[0, 10]"
наталочко,1,[0]
промотором,1,[0]
світлом,8,"[0, 1, 4, 7, 10, 11, 15, 17]"
напади,2,"[0, 1]"
рушаєм,1,[0]
запорожці,4,"[0, 5, 8, 11]"
пихкаючи,1,[0]
співчуття,4,"[0, 1, 7, 10]"
віддаленість,1,[0]
ресторан,1,[0]
мете,6,"[0, 2, 4, 8, 10, 15]"
маніяком,1,[0]
поясни,1,[0]
напинають,1,[0]
звивався,1,[0]
юрбу,5,"[0, 1, 4, 10, 11]"
прянув,1,[0]
стрельни,1,[0]
упевненою,1,[0]
амуніцію,1,[0]
витворюють,1,[0]
торішню,2,"[0, 8]"
шестиповерховий,1,[0]
росіянка,1,[0]
збирався,4,"[0, 4, 10, 14]"
вибір,5,"[0, 1, 4, 7, 10]"
том,6,"[0, 2, 8, 10, 11, 14]"
лігва,2,"[0, 4]"
ганни,2,"[0, 8]"
товста,7,"[0, 4, 7, 10, 11, 12, 17]"
м'язистих,1,[0]
певність,4,"[0, 1, 7, 10]"
намагалася,1,[0]
репнула,1,[0]
стародавні,3,"[0, 1, 5]"
ворожити,4,"[0, 4, 7, 15]"
вимуштрувало,1,[0]
міцна,6,"[0, 1, 5, 7, 9, 10]"
беззвучним,2,"[0, 7]"
гріхи,7,"[0, 1, 4, 5, 7, 8, 17]"
чуйним,1,[0]
питав,11,"[0, 1, 4, 5, 7, 8, 10, 13, 15, 16, 17]"
закректав,1,[0]
безпорадно,3,"[0, 10, 14]"
ґудзиками,4,"[0, 4, 8, 10]"
хвиля,14,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 15, 17]"
випхано,1,[0]
за,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
гілля,9,"[0, 1, 7, 9, 10, 12, 13, 15, 17]"
дивак,2,"[0, 10]"
самозабуття,2,"[0, 10]"
дивитимуться,3,"[0, 5, 10]"
забіліли,1,[0]
наживити,1,[0]
послуг,2,"[0, 10]"
зупинилися,4,"[0, 1, 2, 12]"
рябок,1,[0]
сіяв,7,"[0, 2, 4, 5, 7, 8, 11]"
тилу,2,"[0, 6]"
наквацювати,1,[0]
долині,9,"[0, 1, 4, 7, 8, 11, 12, 15, 17]"
шпигуни,1,[0]
безпомічним,2,"[0, 7]"
голосу,11,"[0, 1, 4, 5, 7, 10, 11, 12, 13, 14, 17]"
гора,10,"[0, 1, 4, 5, 7, 8, 11, 14, 15, 17]"
звелів,8,"[0, 4, 5, 8, 11, 12, 16, 17]"
шило,2,"[0, 7]"
висновки,2,"[0, 10]"
дрібними,6,"[0, 4, 7, 8, 10, 17]"
немазані,2,"[0, 12]"
комісія,3,"[0, 7, 10]"
хати,16,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
репнуту,1,[0]
пудів,2,"[0, 10]"
котились,5,"[0, 1, 10, 15, 17]"
добували,4,"[0, 1, 4, 8]"
запитує,2,"[0, 4]"
просторі,5,"[0, 1, 3, 4, 10]"
поховавши,2,"[0, 4]"
рухливе,4,"[0, 7, 10, 15]"
твою,13,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 13, 16, 17]"
найвища,2,"[0, 1]"
уралом,2,"[0, 8]"
багатств,1,[0]
щонайменше,3,"[0, 7, 10]"
штук,2,"[0, 3]"
мускулясті,1,[0]
сновигало,1,[0]
знехтував,1,[0]
тропи,2,"[0, 4]"
ножа,4,"[0, 4, 8, 10]"
обідній,1,[0]
жалем,10,"[0, 1, 2, 4, 5, 7, 8, 10, 15, 17]"
натрапило,1,[0]
золотого,8,"[0, 1, 4, 5, 8, 9, 13, 17]"
вогню,10,"[0, 4, 5, 7, 8, 9, 10, 11, 15, 17]"
снідали,1,[0]
дочекаємось,1,[0]
конвульсії,1,[0]
мучили,6,"[0, 4, 5, 7, 10, 17]"
накладали,3,"[0, 7, 17]"
перехитрити,1,[0]
вікнах,8,"[0, 1, 3, 4, 10, 12, 13, 17]"
заввишки,3,"[0, 1, 17]"
куцина,1,[0]
вилискують,1,[0]
набір,1,[0]
шепотом,3,"[0, 7, 10]"
одних,7,"[0, 1, 4, 7, 11, 16, 17]"
совєтська,1,[0]
сікачеві,1,[0]
небезпека,6,"[0, 1, 7, 10, 12, 15]"
темних,10,"[0, 1, 4, 5, 6, 7, 9, 10, 15, 17]"
візерунками,1,[0]
розіклав,2,"[0, 9]"
відмінилися,1,[0]
правий,5,"[0, 4, 5, 10, 11]"
споруда,2,"[0, 10]"
гіллям,6,"[0, 1, 9, 10, 13, 17]"
витримає,2,"[0, 7]"
розплющує,1,[0]
тайгові,1,[0]
імана,1,[0]
зникав,5,"[0, 4, 7, 10, 12]"
називає,5,"[0, 5, 7, 8, 10]"
полювання,3,"[0, 4, 10]"
сім,13,"[0, 1, 3, 4, 5, 7, 8, 10, 11, 12, 14, 15, 17]"
кутку,10,"[0, 4, 5, 6, 8, 10, 11, 12, 15, 17]"
українськими,1,[0]
нагнітили,1,[0]
таверну,1,[0]
мотузки,1,[0]
зворушувало,1,[0]
забував,6,"[0, 1, 4, 5, 7, 10]"
зубах,4,"[0, 4, 12, 17]"
панує,7,"[0, 3, 4, 5, 8, 9, 15]"
старовинне,2,"[0, 10]"
промінням,5,"[0, 1, 4, 10, 17]"
англійський,2,"[0, 10]"
розігнулась,1,[0]
втопила,5,"[0, 5, 7, 8, 9]"
причандаллям,1,[0]
зоріє,1,[0]
черви,3,"[0, 8, 12]"
гористий,1,[0]
всесвітнього,2,"[0, 10]"
безжурних,1,[0]
пристріляна,1,[0]
звати,9,"[0, 3, 4, 5, 8, 9, 10, 12, 17]"
іскри,11,"[0, 1, 4, 5, 8, 9, 10, 11, 12, 13, 17]"
району,1,[0]
щока,3,"[0, 7, 10]"
кінчилося,1,[0]
барви,6,"[0, 1, 7, 9, 11, 15]"
химерну,3,"[0, 3, 15]"
звіринку,1,[0]
прохолодою,1,[0]
полицарському,1,[0]
проснувало,1,[0]
складена,2,"[0, 10]"
гавкотняву,1,[0]
херсонським,2,"[0, 17]"
засміялась,6,"[0, 8, 10, 11, 14, 17]"
почепили,2,"[0, 4]"
диким,6,"[0, 1, 4, 7, 10, 17]"
малоросійського,2,"[0, 14]"
стрічали,4,"[0, 1, 5, 17]"
задоволена,4,"[0, 3, 10, 14]"
повздовж,1,[0]
чередою,1,[0]
близькі,6,"[0, 3, 8, 9, 10, 15]"
курсах,2,"[0, 10]"
поодкушувано,1,[0]
чорне,10,"[0, 4, 5, 7, 9, 10, 11, 14, 15, 17]"
вагону,1,[0]
линяючи,2,"[0, 10]"
нікельовими,1,[0]
урину,1,[0]
розсічена,1,[0]
продуману,1,[0]
рибою,5,"[0, 4, 5, 7, 10]"
синьооких,1,[0]
яскраво,2,"[0, 10]"
сакраментальну,1,[0]
подивилися,1,[0]
начиння,5,"[0, 7, 9, 10, 15]"
низьку,1,[0]
деякі,9,"[0, 1, 4, 5, 7, 8, 10, 16, 17]"
п'ятнадцятій,1,[0]
подано,4,"[0, 7, 8, 10]"
розмовляла,5,"[0, 5, 7, 8, 17]"
збудована,3,"[0, 1, 11]"
роззяв,1,[0]
ешелонів,1,[0]
наполегливо,2,"[0, 8]"
свого,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
ш,5,"[0, 4, 8, 9, 17]"
робочий,3,"[0, 4, 10]"
латах,1,[0]
дозвольте,4,"[0, 10, 14, 16]"
береться,10,"[0, 4, 5, 7, 8, 9, 11, 12, 14, 17]"
ковбаню,1,[0]
манюсінькі,2,"[0, 8]"
пам'ятний,1,[0]
каторжний,3,"[0, 4, 17]"
врубель,1,[0]
новая,1,[0]
перших,6,"[0, 1, 4, 7, 10, 17]"
сказилась,3,"[0, 8, 17]"
харківським,1,[0]
приятеля,4,"[0, 4, 5, 10]"
безжурний,3,"[0, 1, 15]"
кедриною,1,[0]
почекав,1,[0]
безмежному,2,"[0, 10]"
помертвіла,3,"[0, 5, 7]"
поїхали,9,"[0, 4, 5, 7, 8, 10, 12, 16, 17]"
ані,14,"[0, 1, 2, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 17]"
випирає,2,"[0, 4]"
дражнив,2,"[0, 17]"
ходором,4,"[0, 4, 8, 17]"
перевал,1,[0]
неприступною,1,[0]
ботаніки,1,[0]
мальовані,1,[0]
загин,2,"[0, 10]"
відра,7,"[0, 4, 5, 8, 9, 12, 16]"
ненароком,5,"[0, 4, 8, 15, 17]"
дикім,2,"[0, 7]"
збираєшся,2,"[0, 4]"
накомарнику,1,[0]
попруги,1,[0]
привітальні,1,[0]
казані,4,"[0, 4, 5, 10]"
здивувало,3,"[0, 1, 4]"
гниляк,1,[0]
звіра,8,"[0, 1, 3, 4, 7, 10, 15, 17]"
заквітчана,5,"[0, 4, 7, 8, 9]"
напосілася,1,[0]
мороку,3,"[0, 9, 10]"
добрій,5,"[0, 1, 4, 7, 8]"
припадаючи,3,"[0, 1, 10]"
переможець,1,[0]
примостившись,1,[0]
зіходячи,1,[0]
вистрибнув,1,[0]
зірка,5,"[0, 4, 9, 11, 15]"
хвабриться,1,[0]
утворилася,1,[0]
найдивоглядніший,1,[0]
імпозантні,1,[0]
перебрались,1,[0]
ліхтариком,2,"[0, 12]"
втягували,1,[0]
тьохкала,1,[0]
нишпорить,3,"[0, 5, 8]"
вберіг,2,"[0, 15]"
повиходили,4,"[0, 4, 5, 17]"
нервами,3,"[0, 7, 13]"
кімгісун,1,[0]
голосі,8,"[0, 4, 7, 9, 10, 11, 14, 15]"
переплітаючись,1,[0]
ресторацію,1,[0]
мошкара,1,[0]
ліктями,3,"[0, 4, 10]"
величі,2,"[0, 10]"
мастили,1,[0]
збожеволілої,1,[0]
дописували,1,[0]
куток,6,"[0, 4, 7, 8, 10, 17]"
чогоо,1,[0]
брехав,5,"[0, 4, 5, 7, 10]"
дівочий,6,"[0, 1, 7, 8, 10, 15]"
солені,1,[0]
шерсть,4,"[0, 3, 15, 16]"
зводила,4,"[0, 7, 10, 17]"
каюсь,2,"[0, 8]"
віттям,2,"[0, 9]"
дочка,10,"[0, 1, 4, 5, 8, 10, 11, 14, 16, 17]"
булькотіла,2,"[0, 10]"
формі,4,"[0, 7, 8, 10]"
билося,4,"[0, 1, 4, 7]"
дістались,1,[0]
кельнером,1,[0]
зброя,4,"[0, 1, 5, 9]"
їх,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
вогнем,7,"[0, 2, 7, 9, 10, 15, 17]"
тримайся,2,"[0, 7]"
посідлали,2,"[0, 8]"
чорнило,2,"[0, 8]"
скарги,3,"[0, 10, 15]"
годен,7,"[0, 2, 3, 7, 10, 13, 15]"
героїчну,1,[0]
змушувати,1,[0]
вогні,9,"[0, 3, 4, 6, 9, 10, 11, 12, 15]"
глузувала,2,"[0, 17]"
кінчаючи,2,"[0, 10]"
жива,12,"[0, 1, 3, 4, 7, 8, 9, 10, 11, 13, 15, 17]"
кінець,14,"[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17]"
вірячи,2,"[0, 10]"
людський,6,"[0, 4, 9, 10, 11, 15]"
пластом,2,"[0, 4]"
сохаті,1,[0]
виблукати,1,[0]
вагоном,1,[0]
медвину,1,[0]
пам'ятаєте,4,"[0, 10, 12, 14]"
теє,8,"[0, 4, 5, 7, 8, 9, 13, 17]"
чудним,3,"[0, 7, 17]"
розповідати,4,"[0, 1, 7, 10]"
мовчанка,5,"[0, 1, 4, 7, 10]"
